大类（层级 1：宏观本质）,中类（层级 2：结构/功能亚型）,小类（层级 3：具体属性/用途细分）,物品清单（穷尽式）,是否收纳,容器,位置
未分类,,,,,,
,,,,,,
I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,电脑、内存条、网卡 (J3455)、散热器、鼠标、键盘、废旧笔记本电脑，,是,电脑 纸箱,主卧楼上
I. 电子设备与信息处理,,网络设备,路由器 (N1旁路由、小米路由器、蒲公英旁路由)、光猫、水星交换机、网线水晶头、网线,是,电脑 纸箱,主卧楼上
I. 电子设备与信息处理,信息储存介质,存储设备,移动硬盘、QNAP NAS、U 盘、SD 卡，读卡器,是,nas 前面的塑料盒子,
I. 电子设备与信息处理,人机交互与外设,输入设备,速录笔、有线耳机、无线耳机、耳机套,,,
I. 电子设备与信息处理,能源与连接,电源用品 ,UPS、电源线、排插、,是,,
I. 电子设备与信息处理,移动设备与穿戴,设备本体,运动手环、手机、ipad  2017 尸体,是,,卧室
I. 电子设备与信息处理,移动设备与穿戴,电池类,电池（5号和7号）,是,数据线充电器盒子,次卧
I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,充电器（USB 充电头、手环充电器、电源适配器、牙刷充电器）、充电宝,是,数据线充电器盒子,次卧
I. 电子设备与信息处理,移动设备与穿戴,数据线/转接器,数据线（C to C、USB-MicroUSB、C-L 线、USB-L 线）、转接器、数据线保护套,是,数据线充电器盒子,次卧
I. 电子设备与信息处理,移动设备与穿戴,配件与保护,手机壳、镜头膜、手机维修工具、贴膜工具类、手机膜、手机防水袋、定位器、运动手环带、手表充电器、表带、擦屏幕的布、微软 pad 内胆包、usb 网线转换器,是,手机电子产品配件箱,次卧
I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,三脚架、八爪鱼三脚架、磁吸反光镜、手机支架、麦克风类（无线收音麦克风）,是,手机电子产品配件箱,次卧
I. 电子设备与信息处理,娱乐与电视设备,电视/影音设备,Apple TV、电视盒子、乐视电视,是,,
I. 电子设备与信息处理,包装盒（配件）,设备原装盒,电子产品原装盒、Apple Watch 盒子、AirPods 盒子、华为耳机盒、iPhone 12 手机盒、Apple TV 盒子、K70E 盒子、牙刷盒子、MacBook 盒子、红光盒子、红光头戴盒子、超声治疗仪 盒子,是,纸箱,主卧楼上
I. 电子设备与信息处理,遥控器,不可归类遥控器,不知名遥控器,是,客厅杂物盒子,客厅
II. 容器、储存与包装,食品储存容器,玻璃材质容器,小玻璃罐、迷你玻璃罐、高硼硅玻璃瓶、滴管、滴瓶、烧杯、高硼硅玻璃罐,是,塑料收纳盒 ,吧台
II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,食品圆形分装盒、食品塑料分装罐、米桶、食品小样分装盒、冰块模具、塑料罐、空茶罐、塑料酒壶、茶盒、,是,口袋,客厅塑料柜
II. 容器、储存与包装,液体饮用容器,饮具,酒杯、玻璃水杯、塑料水杯、杯套,是 ,箱子,次卧楼上
II. 容器、储存与包装,液体饮用容器,分装滴瓶/喷瓶,分装滴瓶/喷瓶,是 ,口袋,客厅塑料柜
II. 容器、储存与包装,杂物收纳与包装,收纳箱/袋,整理箱、纸箱、裹箱子的透明膜、分装盒、分装袋,否,,主卧楼上
II. 容器、储存与包装,杂物收纳与包装,封口/密封用品,封口夹、扎带、自封袋,,,
II. 容器、储存与包装,测量/分装工具,液体测量,量筒、量杯、米桶,是 ,,
III. 工具与机械设备,家用电器与设备,大型/加热电器,电扇、大红光、红光毯（红光毯电源）、筋膜枪,是 ,,
III. 工具与机械设备,家用电器与设备,烹饪电器,电压力锅、微波炉、酸奶机、绞肉机、慢炖锅、、迷你豆浆机,是 ,,
III. 工具与机械设备,家用电器与设备,小型电器,去毛球机、电热夹板、红光鼻子仪器、雾化器、电脉冲理疗仪、驱蚊机、加热垫、电动推子（理发推子）、超声理疗仪、红光护手、红光护腰、红光促智仪,是 ,袋子,
III. 工具与机械设备,家用电器与设备,电器配件,大红光挂具、,是 ,,客厅茶几抽屉
III. 工具与机械设备,手动工具,切割/修理/安装 工具,美工刀、卷尺、螺丝、扳手、绑带、管道卡扣器、万向轮、胶布、双面胶、电胶布、胶带、自封胶布、胶棒、高强度铸工胶、砂纸、针（针线工具）、线（针线工具），夹子，磁铁、蓝丁胶、透明软管、软尺、头灯、冰箱清洗工具、电子挂钩秤,是 ,工具箱,客厅
III. 工具与机械设备,手动工具,厨卫用具（非电器）,刀、叉子、勺子、烧烤刷、研磨钵、夏威夷果开果器、硅胶漏斗、红酒开瓶器、开核桃器、烤红薯袋子、搅拌器（打蛋器）、一次性手套、洗杯子刷子,是,,
III. 工具与机械设备,手动工具,文具与办公,夹子、尺子、白板擦、白板，各种笔,是,,
III. 工具与机械设备,检测与测量设备,电子测量,测电笔、电磁辐射检测仪、功率测试器、电池电量测试器、电线检测仪,是,工具箱,
III. 工具与机械设备,检测与测量设备,化学测量,不锈钢测试液、,是,,
III. 工具与机械设备,检测与测量设备,温度/物理测量,杯子温度贴、电温度计，usb温度计,是,,
III. 工具与机械设备,检测与测量设备,物理测量,卷尺、软尺,是,,
III. 工具与机械设备,日用工具,个人护理工具,刮痧板、指甲刀相关（锉刀）、掏耳勺、痒痒挠、筋膜枪配件、,是,,客厅抽屉
