物品名称,原大类,原中类,原小类,新大类,新子类,原容器,原位置
电脑,I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,🔌 电子数码,核心计算设备,电脑 纸箱,主卧楼上
内存条,I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,🔌 电子数码,外设与配件,电脑 纸箱,主卧楼上
网卡 (J3455),I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,🔌 电子数码,网络设备,电脑 纸箱,主卧楼上
散热器,I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,🔌 电子数码,外设与配件,电脑 纸箱,主卧楼上
鼠标,I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,🔌 电子数码,外设与配件,电脑 纸箱,主卧楼上
键盘,I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,🔌 电子数码,外设与配件,电脑 纸箱,主卧楼上
废旧笔记本电脑,I. 电子设备与信息处理,信息处理与网络,计算机主机/配件,🔌 电子数码,核心计算设备,电脑 纸箱,主卧楼上
路由器 (N1旁路由,I. 电子设备与信息处理,,网络设备,🔌 电子数码,网络设备,电脑 纸箱,主卧楼上
小米路由器,I. 电子设备与信息处理,,网络设备,🔌 电子数码,网络设备,电脑 纸箱,主卧楼上
蒲公英旁路由),I. 电子设备与信息处理,,网络设备,🔌 电子数码,外设与配件,电脑 纸箱,主卧楼上
光猫,I. 电子设备与信息处理,,网络设备,🔌 电子数码,网络设备,电脑 纸箱,主卧楼上
水星交换机,I. 电子设备与信息处理,,网络设备,🔌 电子数码,网络设备,电脑 纸箱,主卧楼上
网线水晶头,I. 电子设备与信息处理,,网络设备,🔌 电子数码,网络设备,电脑 纸箱,主卧楼上
网线,I. 电子设备与信息处理,,网络设备,🔌 电子数码,网络设备,电脑 纸箱,主卧楼上
移动硬盘,I. 电子设备与信息处理,信息储存介质,存储设备,🔌 电子数码,外设与配件,nas 前面的塑料盒子,
QNAP NAS,I. 电子设备与信息处理,信息储存介质,存储设备,🔌 电子数码,网络设备,nas 前面的塑料盒子,
U 盘,I. 电子设备与信息处理,信息储存介质,存储设备,🔌 电子数码,外设与配件,nas 前面的塑料盒子,
SD 卡,I. 电子设备与信息处理,信息储存介质,存储设备,🔌 电子数码,外设与配件,nas 前面的塑料盒子,
读卡器,I. 电子设备与信息处理,信息储存介质,存储设备,🔌 电子数码,外设与配件,nas 前面的塑料盒子,
速录笔,I. 电子设备与信息处理,人机交互与外设,输入设备,🔌 电子数码,外设与配件,,
有线耳机,I. 电子设备与信息处理,人机交互与外设,输入设备,🔌 电子数码,外设与配件,,
无线耳机,I. 电子设备与信息处理,人机交互与外设,输入设备,🔌 电子数码,外设与配件,,
耳机套,I. 电子设备与信息处理,人机交互与外设,输入设备,🔌 电子数码,外设与配件,,
UPS,I. 电子设备与信息处理,能源与连接,电源用品 ,🔌 电子数码,外设与配件,,
电源线,I. 电子设备与信息处理,能源与连接,电源用品 ,🏠 家居与工具,生活家电,,
排插,I. 电子设备与信息处理,能源与连接,电源用品 ,🏠 家居与工具,生活家电,,
运动手环,I. 电子设备与信息处理,移动设备与穿戴,设备本体,🔌 电子数码,外设与配件,,卧室
手机,I. 电子设备与信息处理,移动设备与穿戴,设备本体,🔌 电子数码,核心计算设备,,卧室
ipad  2017 尸体,I. 电子设备与信息处理,移动设备与穿戴,设备本体,🔌 电子数码,核心计算设备,,卧室
电池,I. 电子设备与信息处理,移动设备与穿戴,电池类,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
5号和7号,I. 电子设备与信息处理,移动设备与穿戴,电池类,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
充电器,I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
USB 充电头,I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
手环充电器,I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
电源适配器,I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
牙刷充电器,I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
充电宝,I. 电子设备与信息处理,移动设备与穿戴,移动充电设备,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
数据线,I. 电子设备与信息处理,移动设备与穿戴,数据线/转接器,🔌 电子数码,外设与配件,数据线充电器盒子,次卧
C to C,I. 电子设备与信息处理,移动设备与穿戴,数据线/转接器,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
USB-MicroUSB,I. 电子设备与信息处理,移动设备与穿戴,数据线/转接器,🔌 电子数码,外设与配件,数据线充电器盒子,次卧
C-L 线,I. 电子设备与信息处理,移动设备与穿戴,数据线/转接器,🔌 电子数码,动力与线材,数据线充电器盒子,次卧
